Query ID,Sample query,START_TIME,COMPILATION_TIME [ms],EXECUTION_TIME [ms],TOTAL_ELAPSED_TIME [ms],DWH
52,"SELECT dt.d_year, 
               item.i_brand_id ",2020-12-22 01:59:53.096 -0800,121,46,167,LARGE
53,"SELECT * 
FROM   (SELECT i_manufact_id, 
         ",2020-12-22 01:59:55.153 -0800,134,48,182,LARGE
54,"WITH my_customers 
     AS (SELECT DISTINCT c_cust",2020-12-22 01:59:58.943 -0800,222,49,271,LARGE
55,"SELECT i_brand_id              brand_id, 
        ",2020-12-22 02:00:00.617 -0800,90,44,134,LARGE
56,"WITH ss 
     AS (SELECT i_item_id, 
             ",2020-12-22 02:00:02.231 -0800,662,"1,832","2,494",LARGE
57,"WITH v1 
     AS (SELECT i_category, 
            ",2020-12-22 02:00:05.495 -0800,528,"1,898","2,426",LARGE
58,"WITH ss_items 
     AS (SELECT i_item_id          ",2020-12-22 02:00:09.928 -0800,723,201,924,LARGE
59,"WITH wss 
     AS (SELECT d_week_seq, 
           ",2020-12-22 02:00:11.959 -0800,103,30,133,LARGE
60,"WITH ss 
     AS (SELECT i_item_id, 
             ",2020-12-22 02:00:12.706 -0800,"1,257","1,565","2,822",LARGE
61,"SELECT promotions, 
               total, 
       ",2020-12-22 02:00:16.737 -0800,174,160,334,LARGE
62,"SELECT Substr(w_warehouse_name, 1, 20), 
         ",2020-12-22 02:00:17.806 -0800,"2,316","1,504","3,820",LARGE
63,"SELECT * 
FROM   (SELECT i_manager_id, 
          ",2020-12-22 02:00:22.424 -0800,236,172,408,LARGE
64,"WITH cs_ui 
     AS (SELECT cs_item_sk, 
         ",2020-12-22 02:00:23.419 -0800,299,48,347,LARGE
65,"SELECT s_store_name, 
               i_item_desc, ",2020-12-22 02:00:24.007 -0800,113,41,154,LARGE
66,"SELECT w_warehouse_name, 
               w_warehou",2020-12-22 02:00:24.568 -0800,"1,767","2,614","4,381",LARGE
67,"with dw1 as (
      select i_category
            ",2020-12-22 02:00:29.820 -0800,160,43,203,LARGE
68,"SELECT c_last_name, 
               c_first_name, ",2020-12-22 02:00:32.601 -0800,129,37,166,LARGE
69,"SELECT cd_gender, 
               cd_marital_statu",2020-12-22 02:00:33.837 -0800,603,"1,357","1,960",LARGE
70,SELECT Sum(ss_net_profit)                     AS t,2020-12-22 02:00:36.783 -0800,690,106,796,LARGE
71,"SELECT i_brand_id     brand_id, 
       i_brand   ",2020-12-22 02:00:38.091 -0800,771,"1,319","2,090",LARGE
72,"WITH top_items AS (
  SELECT cs_item_sk, 
        ",2020-12-22 02:00:40.745 -0800,"2,335","3,947","6,282",LARGE
73,"SELECT c_last_name, 
       c_first_name, 
       ",2020-12-22 02:00:49.012 -0800,849,173,"1,022",LARGE
74,"WITH year_total 
     AS (SELECT c_customer_id    ",2020-12-22 02:00:53.911 -0800,312,"1,669","1,981",LARGE
75,"WITH all_sales 
     AS (SELECT d_year, 
         ",2020-12-22 02:00:59.178 -0800,872,"9,013","9,885",LARGE
76,"SELECT channel, 
               col_name, 
       ",2020-12-22 02:01:10.303 -0800,"2,187","2,014","4,201",LARGE
77,"WITH ss AS 
( 
         SELECT   s_store_sk, 
    ",2020-12-22 02:01:19.559 -0800,752,"6,409","7,161",LARGE
78,"WITH ws 
     AS (SELECT d_year                 AS",2020-12-22 02:01:27.186 -0800,"1,128","1,624","2,752",LARGE
79,"SELECT c_last_name, 
               c_first_name, ",2020-12-22 02:01:30.316 -0800,157,51,208,LARGE
80,"WITH ssr AS 
( 
                SELECT          s_",2020-12-22 02:01:31.823 -0800,"2,763","4,540","7,303",LARGE
81,"WITH customer_total_return 
     AS (SELECT cr_ret",2020-12-22 02:01:39.819 -0800,470,"1,790","2,260",LARGE
82,"SELECT
         i_item_id , 
         i_item_desc ",2020-12-22 02:01:44.390 -0800,133,36,169,LARGE
83,"WITH sr_items 
     AS (SELECT i_item_id          ",2020-12-22 02:01:45.134 -0800,"1,149","1,899","3,048",LARGE
84,"SELECT c_customer_id   AS customer_id, 
       Con",2020-12-22 02:01:49.122 -0800,"2,526","1,110","3,636",LARGE
85,"SELECT Substr(r_reason_desc, 1, 20), 
            ",2020-12-22 02:01:53.995 -0800,"2,421","2,177","4,598",LARGE
86,SELECT Sum(ws_net_paid)                         AS,2020-12-22 02:01:59.421 -0800,165,781,946,LARGE
87,"with store_customers as (
  select distinct c_last",2020-12-22 02:02:01.021 -0800,162,38,200,LARGE
88,"select  *
from
 (select count(*) h8_30_to_9
 from ",2020-12-22 02:02:01.693 -0800,219,65,284,LARGE
89,"SELECT  * 
FROM  (SELECT i_category, 
            ",2020-12-22 02:02:03.445 -0800,562,150,712,LARGE
90,"SELECT amc / pmc AS am_pm_ratio 
FROM   (SELECT Co",2020-12-22 02:02:04.749 -0800,"1,121","1,187","2,308",LARGE
91,"SELECT cc_call_center_id Call_Center, 
       cc_n",2020-12-22 02:02:08.327 -0800,"2,954","1,695","4,649",LARGE
92,"SELECT 
         Sum(ws_ext_discount_amt) AS exces",2020-12-22 02:02:13.949 -0800,216,"1,150","1,366",LARGE
93,"SELECT ss_customer_sk, 
               Sum(act_sal",2020-12-22 02:02:16.532 -0800,187,812,999,LARGE
94,"SELECT 
         Count(DISTINCT ws_order_number) A",2020-12-22 02:02:18.125 -0800,581,"1,552","2,133",LARGE
95,"WITH ws_wh AS 
( 
       SELECT ws1.ws_order_numbe",2020-12-22 02:02:20.890 -0800,524,"3,584","4,108",LARGE
96,"SELECT Count(*) 
FROM   store_sales, 
       house",2020-12-22 02:02:26.077 -0800,113,42,155,LARGE
97,"WITH ssci 
     AS (SELECT ss_customer_sk customer",2020-12-22 02:02:26.496 -0800,204,"1,167","1,371",LARGE
98,"SELECT i_item_id, 
       i_item_desc, 
       i_c",2020-12-22 02:02:28.421 -0800,162,311,473,LARGE
99,"SELECT Substr(w_warehouse_name, 1, 20), 
         ",2020-12-22 02:02:29.614 -0800,479,"1,393","1,872",LARGE
-,TOTAL [s],,59,122,181,
